index,code,unit,statisticalUnit,description
1280,QS203EW0069,Count,Person,The Americas and the Caribbean: The Caribbean: Total
1281,QS203EW0070,Count,Person,The Americas and the Caribbean: The Caribbean: Jamaica
1282,QS203EW0071,Count,Person,The Americas and the Caribbean: The Caribbean: Other Caribbean
1283,QS203EW0072,Count,Person,Antarctica and Oceania: Total
1284,QS203EW0073,Count,Person,Antarctica and Oceania: Antarctica
1285,QS203EW0074,Count,Person,Antarctica and Oceania: Australasia: Total
1286,QS203EW0075,Count,Person,Antarctica and Oceania: Australasia: Australia
1287,QS203EW0076,Count,Person,Antarctica and Oceania: Australasia: Other Australasia
1288,QS203EW0077,Count,Person,Antarctica and Oceania: Other Oceania
1289,QS203EW0078,Count,Person,Other
1290,QS204EW0001,Count,Person,All usual residents aged 3 and over
1291,QS204EW0002,Count,Person,English (English or Welsh if in Wales)
1292,QS204EW0003,Count,Person,Welsh/Cymraeg (in England only)
1293,QS204EW0004,Count,Person,Other UK language: Total
1294,QS204EW0005,Count,Person,Other UK language: Gaelic (Irish) 
1295,QS204EW0006,Count,Person,Other UK language: Gaelic (Scottish)
1296,QS204EW0007,Count,Person,Other UK language: Manx Gaelic
1297,QS204EW0008,Count,Person,Other UK language: Gaelic (Not otherwise specified)  
1298,QS204EW0009,Count,Person,Other UK language: Cornish
1299,QS204EW0010,Count,Person,Other UK language: Scots
1300,QS204EW0011,Count,Person,Other UK language: Gypsy/Traveller languages
1301,QS204EW0012,Count,Person,French
1302,QS204EW0013,Count,Person,Portuguese
1303,QS204EW0014,Count,Person,Spanish
1304,QS204EW0015,Count,Person,Other European Language (EU): Total
1305,QS204EW0016,Count,Person,Other European Language (EU): Italian
1306,QS204EW0017,Count,Person,Other European Language (EU): German
1307,QS204EW0018,Count,Person,Other European Language (EU): Polish
1308,QS204EW0019,Count,Person,Other European Language (EU): Slovak
1309,QS204EW0020,Count,Person,Other European Language (EU): Czech
1310,QS204EW0021,Count,Person,Other European Language (EU): Romanian
1311,QS204EW0022,Count,Person,Other European Language (EU): Lithuanian
1312,QS204EW0023,Count,Person,Other European Language (EU): Latvian
1313,QS204EW0024,Count,Person,Other European Language (EU): Hungarian
1314,QS204EW0025,Count,Person,Other European Language (EU): Bulgarian
1315,QS204EW0026,Count,Person,Other European Language (EU): Greek
1316,QS204EW0027,Count,Person,Other European Language (EU): Dutch
1317,QS204EW0028,Count,Person,Other European Language (EU): Swedish
1318,QS204EW0029,Count,Person,Other European Language (EU): Danish
1319,QS204EW0030,Count,Person,Other European Language (EU): Finnish
1320,QS204EW0031,Count,Person,Other European Language (EU): Estonian
1321,QS204EW0032,Count,Person,Other European Language (EU): Slovenian
1322,QS204EW0033,Count,Person,Other European Language (EU): Maltese
1323,QS204EW0034,Count,Person,Other European Language (EU): Any other European Language (EU)
1324,QS204EW0035,Count,Person,Other European Language (non EU): Total
1325,QS204EW0036,Count,Person,Other European Language (non EU): Albanian
1326,QS204EW0037,Count,Person,Other European Language (non EU): Serbian/Croatian/Bosnian
1327,QS204EW0038,Count,Person,Other European Language (non EU): Ukrainian
1328,QS204EW0039,Count,Person,Other European Language (non EU): Any other Eastern European Language (non EU)
1329,QS204EW0040,Count,Person,Other European Language (non EU): Northern European Language (non EU)
1330,QS204EW0041,Count,Person,Other European Language (non-national): Total
1331,QS204EW0042,Count,Person,Other European Language (non-national): Romani language (any)
1332,QS204EW0043,Count,Person,Other European Language (non-national): Yiddish
1333,QS204EW0044,Count,Person,Russian
1334,QS204EW0045,Count,Person,Turkish
1335,QS204EW0046,Count,Person,Arabic
1336,QS204EW0047,Count,Person,West/Central Asian Language: Total
1337,QS204EW0048,Count,Person,West/Central Asian Language: Hebrew
1338,QS204EW0049,Count,Person,West/Central Asian Language: Kurdish
1339,QS204EW0050,Count,Person,West/Central Asian Language: Persian/Farsi
1340,QS204EW0051,Count,Person,West/Central Asian Language: Pashto
1341,QS204EW0052,Count,Person,West/Central Asian Language: West/Central Asian Language (all other)
1342,QS204EW0053,Count,Person,South Asian Language: Total
1344,QS204EW0055,Count,Person,South Asian Language: Hindi
1345,QS204EW0056,Count,Person,South Asian Language: Panjabi
1346,QS204EW0057,Count,Person,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari)
1347,QS204EW0058,Count,Person,South Asian Language: Bengali (with Sylheti and Chatgaya)
1348,QS204EW0059,Count,Person,South Asian Language: Gujarati
1349,QS204EW0060,Count,Person,South Asian Language: Marathi
1350,QS204EW0061,Count,Person,South Asian Language: Telugu
1351,QS204EW0062,Count,Person,South Asian Language: Tamil
1352,QS204EW0063,Count,Person,South Asian Language: Malayalam
1353,QS204EW0064,Count,Person,South Asian Language: Sinhala
1354,QS204EW0065,Count,Person,South Asian Language: Nepalese
1355,QS204EW0066,Count,Person,South Asian Language: South Asian Language (all other)
1356,QS204EW0067,Count,Person,East Asian Language: Total
1357,QS204EW0068,Count,Person,East Asian Language: Mandarin Chinese
1358,QS204EW0069,Count,Person,East Asian Language: Cantonese Chinese
1359,QS204EW0070,Count,Person,East Asian Language: All other Chinese
1360,QS204EW0071,Count,Person,East Asian Language: Japanese
1361,QS204EW0072,Count,Person,East Asian Language: Korean
1362,QS204EW0073,Count,Person,East Asian Language: Vietnamese
1363,QS204EW0074,Count,Person,East Asian Language: Thai
1364,QS204EW0075,Count,Person,East Asian Language: Malay
1365,QS204EW0076,Count,Person,East Asian Language: Tagalog/Filipino
1366,QS204EW0077,Count,Person,East Asian Language: East Asian Language (all other)
1367,QS204EW0078,Count,Person,Oceanic/Australian language (any)
1368,QS204EW0079,Count,Person,North/South American language (any)
1369,QS204EW0080,Count,Person,Caribbean Creole: Total
1370,QS204EW0081,Count,Person,Caribbean Creole: Caribbean Creole (English-based)
1371,QS204EW0082,Count,Person,Caribbean Creole: Caribbean Creole (all other)
1372,QS204EW0083,Count,Person,African Language: Total
1373,QS204EW0084,Count,Person,African Language: Amharic
1374,QS204EW0085,Count,Person,African Language: Tigrinya
1375,QS204EW0086,Count,Person,African Language: Somali
1376,QS204EW0087,Count,Person,African Language: Krio
1377,QS204EW0088,Count,Person,African Language: Akan
1378,QS204EW0089,Count,Person,African Language: Yoruba
1379,QS204EW0090,Count,Person,African Language: Igbo
1380,QS204EW0091,Count,Person,African Language: Swahili/Kiswahili
1381,QS204EW0092,Count,Person,African Language: Luganda
1382,QS204EW0093,Count,Person,African Language: Lingala
1383,QS204EW0094,Count,Person,African Language: Shona
1384,QS204EW0095,Count,Person,African Language: Afrikaans
1385,QS204EW0096,Count,Person,African Language: Any other Nigerian language
1386,QS204EW0097,Count,Person,African Language: West African language (all other)
1387,QS204EW0098,Count,Person,African Language: African language (all other)
1388,QS204EW0099,Count,Person,Other Languages: Total
1389,QS204EW0100,Count,Person,Other Languages: All other languages
1390,QS204EW0101,Count,Person,Sign Language: Total
1391,QS204EW0102,Count,Person,Sign Language: British sign language
1392,QS204EW0103,Count,Person,Sign Language: Sign Language (all other)
1393,QS204EW0104,Count,Person,Sign Language: Any Sign Communication System
1394,QS205EW0001,Count,Person,All categories: Proficiency in English
1395,QS205EW0002,Count,Person,Main language is English (English or Welsh in Wales)
1396,QS205EW0003,Count,Person,Main language is not English (English or Welsh in Wales): Can speak English very well
1397,QS205EW0004,Count,Person,Main language is not English (English or Welsh in Wales): Can speak English well
1398,QS205EW0005,Count,Person,Main language is not English (English or Welsh in Wales): Cannot speak English well
1399,QS205EW0006,Count,Person,Main language is not English (English or Welsh in Wales): Cannot speak English
1400,QS206WA0001,Count,Person,All usual residents aged 3 and over
1401,QS206WA0002,Count,Person,Can understand spoken Welsh
1402,QS206WA0003,Count,Person,Can speak Welsh
1403,QS206WA0004,Count,Person,Can read Welsh
1404,QS206WA0005,Count,Person,Can write Welsh
1405,QS206WA0006,Count,Person,"Can speak, read or write Welsh"
1406,QS207WA0001,Count,Person,All categories: Welsh language skills
1407,QS207WA0002,Count,Person,No skills in Welsh
1408,QS207WA0003,Count,Person,Can understand spoken Welsh only
1409,QS207WA0004,Count,Person,Can speak Welsh: Total
1410,QS207WA0005,Count,Person,Can speak but cannot read or write Welsh
1411,QS207WA0006,Count,Person,Can speak and read but cannot write Welsh
1412,QS207WA0007,Count,Person,"Can speak, read and write Welsh"
1413,QS207WA0008,Count,Person,Can speak and other combinations of skills in Welsh
1414,QS207WA0009,Count,Person,Can read but cannot speak or write Welsh
1415,QS207WA0010,Count,Person,Can read and write but cannot speak Welsh
1416,QS207WA0011,Count,Person,Can write but cannot speak or read Welsh
1417,QS208EW0001,Count,Person,All categories: Religion
1418,QS208EW0002,Count,Person,Christian
1419,QS208EW0003,Count,Person,Buddhist
1420,QS208EW0004,Count,Person,Hindu
1421,QS208EW0005,Count,Person,Jewish
1422,QS208EW0006,Count,Person,Muslim
1423,QS208EW0007,Count,Person,Sikh
1424,QS208EW0008,Count,Person,Other religion
1425,QS208EW0009,Count,Person,No religion
1426,QS208EW0010,Count,Person,Religion not stated
1427,QS210EW0001,Count,Person,All categories: Religion
1428,QS210EW0002,Count,Person,Christian
1429,QS210EW0003,Count,Person,Buddhist
1430,QS210EW0004,Count,Person,Hindu
1431,QS210EW0005,Count,Person,Jewish
1432,QS210EW0006,Count,Person,Muslim (Islam)
1433,QS210EW0007,Count,Person,Sikh
1434,QS210EW0008,Count,Person,Other religion: Total
1435,QS210EW0009,Count,Person,Other religion: Animism
1436,QS210EW0010,Count,Person,Other religion: Baha'i
1437,QS210EW0011,Count,Person,Other religion: Believe in God
1438,QS210EW0012,Count,Person,Other religion: Brahma Kumari
1439,QS210EW0013,Count,Person,Other religion: Chinese Religion
1440,QS210EW0014,Count,Person,Other religion: Church of All Religion
1441,QS210EW0015,Count,Person,Other religion: Confucianist
1442,QS210EW0016,Count,Person,Other religion: Deist
1443,QS210EW0017,Count,Person,Other religion: Druid
1444,QS210EW0018,Count,Person,Other religion: Druze
1445,QS210EW0019,Count,Person,Other religion: Eckankar
1446,QS210EW0020,Count,Person,Other religion: Heathen
1447,QS210EW0021,Count,Person,Other religion: Jain
1448,QS210EW0022,Count,Person,Other religion: Mixed Religion
1449,QS210EW0023,Count,Person,Other religion: Mysticism
1450,QS210EW0024,Count,Person,Other religion: Native American Church
1451,QS210EW0025,Count,Person,Other religion: New Age
1452,QS210EW0026,Count,Person,Other religion: Occult
1453,QS210EW0027,Count,Person,Other religion: Own Belief System
1454,QS210EW0028,Count,Person,Other religion: Pagan
1455,QS210EW0029,Count,Person,Other religion: Pantheism
1456,QS210EW0030,Count,Person,Other religion: Rastafarian
1457,QS210EW0031,Count,Person,Other religion: Ravidassia
1458,QS210EW0032,Count,Person,Other religion: Reconstructionist
1459,QS210EW0033,Count,Person,Other religion: Satanism
1460,QS210EW0034,Count,Person,Other religion: Scientology
1461,QS210EW0035,Count,Person,Other religion: Shamanism
1462,QS210EW0036,Count,Person,Other religion: Shintoism
1463,QS210EW0037,Count,Person,Other religion: Spiritual
1464,QS210EW0038,Count,Person,Other religion: Spiritualist
1465,QS210EW0039,Count,Person,Other religion: Taoist
1466,QS210EW0040,Count,Person,Other religion: Theism
1467,QS210EW0041,Count,Person,Other religion: Thelemite
1468,QS210EW0042,Count,Person,Other religion: Traditional African Religion
1469,QS210EW0043,Count,Person,Other religion: Unification Church
1470,QS210EW0044,Count,Person,Other religion: Universalist
1471,QS210EW0045,Count,Person,Other religion: Vodun
1472,QS210EW0046,Count,Person,Other religion: Wicca
1473,QS210EW0047,Count,Person,Other religion: Witchcraft
1474,QS210EW0048,Count,Person,Other religion: Zoroastrian
1475,QS210EW0049,Count,Person,Other religion: Other religions
1476,QS210EW0050,Count,Person,No religion: Total
1477,QS210EW0051,Count,Person,No religion: No religion
1478,QS210EW0052,Count,Person,No religion: Agnostic
1479,QS210EW0053,Count,Person,No religion: Atheist
1480,QS210EW0054,Count,Person,No religion: Free Thinker
1481,QS210EW0055,Count,Person,No religion: Heavy Metal
1482,QS210EW0056,Count,Person,No religion: Humanist
1483,QS210EW0057,Count,Person,No religion: Jedi Knight
1484,QS210EW0058,Count,Person,No religion: Realist
1485,QS210EW0059,Count,Person,Religion not stated
1486,QS211EW0001,Count,Person,All categories: Ethnic group
1487,QS211EW0002,Count,Person,White: English/Welsh/Scottish/Northern Irish/British
1488,QS211EW0003,Count,Person,White: Irish
1489,QS211EW0004,Count,Person,White: Gypsy or Irish Traveller
1490,QS211EW0005,Count,Person,White: Afghan
1491,QS211EW0006,Count,Person,White: Albanian
1492,QS211EW0007,Count,Person,White: Anglo Indian
1493,QS211EW0008,Count,Person,White: Argentinian
1494,QS211EW0009,Count,Person,White: Australian/New Zealander
1495,QS211EW0010,Count,Person,White: Baltic States
1496,QS211EW0011,Count,Person,White: Bosnian
1497,QS211EW0012,Count,Person,White: Brazilian
1498,QS211EW0013,Count,Person,White: British Asian
1499,QS211EW0014,Count,Person,White: Burmese
1500,QS211EW0015,Count,Person,White: Chilean
1501,QS211EW0016,Count,Person,White: Colombian
1502,QS211EW0017,Count,Person,White: Commonwealth of (Russian) Independent States
1503,QS211EW0018,Count,Person,White: Croatian
1504,QS211EW0019,Count,Person,White: Cuban
1505,QS211EW0020,Count,Person,White: Cypriot (part not stated)
1506,QS211EW0021,Count,Person,White: Ecuadorian
1507,QS211EW0022,Count,Person,White: European Mixed
1508,QS211EW0023,Count,Person,White: Filipino
1509,QS211EW0024,Count,Person,White: Greek
1510,QS211EW0025,Count,Person,White: Greek Cypriot
1511,QS211EW0026,Count,Person,White: Iranian
1512,QS211EW0027,Count,Person,White: Israeli
1513,QS211EW0028,Count,Person,White: Italian
1514,QS211EW0029,Count,Person,White: Japanese
1515,QS211EW0030,Count,Person,White: Kashmiri
1516,QS211EW0031,Count,Person,White: Kosovan
1517,QS211EW0032,Count,Person,White: Kurdish
1518,QS211EW0033,Count,Person,White: Latin/South/Central American
1519,QS211EW0034,Count,Person,White: Malaysian
1520,QS211EW0035,Count,Person,White: Mexican
1521,QS211EW0036,Count,Person,White: Moroccan
1522,QS211EW0037,Count,Person,White: Multi-ethnic islands
1523,QS211EW0038,Count,Person,White: Nepalese (includes Gurkha)
1524,QS211EW0039,Count,Person,White: Nigerian
1525,QS211EW0040,Count,Person,White: North African
1526,QS211EW0041,Count,Person,White: North American
1527,QS211EW0042,Count,Person,White: Other Eastern European
1528,QS211EW0043,Count,Person,White: Other Middle East
1529,QS211EW0044,Count,Person,White: Other Western European
1530,QS211EW0045,Count,Person,White: Peruvian
1531,QS211EW0046,Count,Person,White: Polish
1532,QS211EW0047,Count,Person,White: Polynesia/Micronesia/Melanesia
1533,QS211EW0048,Count,Person,White: Serbian
1534,QS211EW0049,Count,Person,White: Somali
1535,QS211EW0050,Count,Person,White: Somalilander
1536,QS211EW0051,Count,Person,White: Sri Lankan
1537,QS211EW0052,Count,Person,White: Tamil
1538,QS211EW0053,Count,Person,White: Thai
1539,QS211EW0054,Count,Person,White: Turkish
1540,QS211EW0055,Count,Person,White: Turkish Cypriot
1541,QS211EW0056,Count,Person,White: Venezuelan
1542,QS211EW0057,Count,Person,White: Vietnamese
1543,QS211EW0058,Count,Person,White: White African
1544,QS211EW0059,Count,Person,White: White Caribbean
1545,QS211EW0060,Count,Person,White: Any other ethnic group
1546,QS211EW0061,Count,Person,Mixed/multiple ethnic group: White and Black Caribbean
1547,QS211EW0062,Count,Person,Mixed/multiple ethnic group: White and Black African
1548,QS211EW0063,Count,Person,Mixed/multiple ethnic group: White and Asian
1549,QS211EW0064,Count,Person,Mixed/multiple ethnic group: Afghan
1550,QS211EW0065,Count,Person,Mixed/multiple ethnic group: African/Arab
1551,QS211EW0066,Count,Person,Mixed/multiple ethnic group: Albanian
1552,QS211EW0067,Count,Person,Mixed/multiple ethnic group: Anglo Indian
1553,QS211EW0068,Count,Person,Mixed/multiple ethnic group: Australian/New Zealander
1554,QS211EW0069,Count,Person,Mixed/multiple ethnic group: Baltic States
1555,QS211EW0070,Count,Person,Mixed/multiple ethnic group: Black and Asian
1556,QS211EW0071,Count,Person,Mixed/multiple ethnic group: Black and Chinese
1557,QS211EW0072,Count,Person,Mixed/multiple ethnic group: Black and White
1558,QS211EW0073,Count,Person,Mixed/multiple ethnic group: Black British
1559,QS211EW0074,Count,Person,Mixed/multiple ethnic group: Black European
1560,QS211EW0075,Count,Person,Mixed/multiple ethnic group: Black/African American
1561,QS211EW0076,Count,Person,Mixed/multiple ethnic group: Brazilian
1562,QS211EW0077,Count,Person,Mixed/multiple ethnic group: British Asian
1563,QS211EW0078,Count,Person,Mixed/multiple ethnic group: Burmese
1564,QS211EW0079,Count,Person,Mixed/multiple ethnic group: Caribbean Asian
1565,QS211EW0080,Count,Person,Mixed/multiple ethnic group: Chilean
1566,QS211EW0081,Count,Person,Mixed/multiple ethnic group: Chinese and White
1567,QS211EW0082,Count,Person,Mixed/multiple ethnic group: Colombian
1568,QS211EW0083,Count,Person,Mixed/multiple ethnic group: Commonwealth of (Russian) Independent States
1569,QS211EW0084,Count,Person,Mixed/multiple ethnic group: Cuban
1570,QS211EW0085,Count,Person,Mixed/multiple ethnic group: Cypriot (part not stated)
1571,QS211EW0086,Count,Person,Mixed/multiple ethnic group: East African Asian
1572,QS211EW0087,Count,Person,Mixed/multiple ethnic group: Ecuadorian
1573,QS211EW0088,Count,Person,Mixed/multiple ethnic group: European Mixed
1574,QS211EW0089,Count,Person,Mixed/multiple ethnic group: Filipino
1575,QS211EW0090,Count,Person,Mixed/multiple ethnic group: Greek
1576,QS211EW0091,Count,Person,Mixed/multiple ethnic group: Greek Cypriot
1577,QS211EW0092,Count,Person,Mixed/multiple ethnic group: Indonesian
1578,QS211EW0093,Count,Person,Mixed/multiple ethnic group: Iranian
1579,QS211EW0094,Count,Person,Mixed/multiple ethnic group: Israeli
1580,QS211EW0095,Count,Person,Mixed/multiple ethnic group: Italian
1581,QS211EW0096,Count,Person,Mixed/multiple ethnic group: Japanese
1582,QS211EW0097,Count,Person,Mixed/multiple ethnic group: Kashmiri
1583,QS211EW0098,Count,Person,Mixed/multiple ethnic group: Korean
1584,QS211EW0099,Count,Person,Mixed/multiple ethnic group: Kosovan
1585,QS211EW0100,Count,Person,Mixed/multiple ethnic group: Kurdish
1586,QS211EW0101,Count,Person,Mixed/multiple ethnic group: Latin/South/Central American
1587,QS211EW0102,Count,Person,Mixed/multiple ethnic group: Malaysian
1588,QS211EW0103,Count,Person,Mixed/multiple ethnic group: Mexican
1589,QS211EW0104,Count,Person,Mixed/multiple ethnic group: Moroccan
1590,QS211EW0105,Count,Person,Mixed/multiple ethnic group: Multi-ethnic islands
1591,QS211EW0106,Count,Person,Mixed/multiple ethnic group: Nepalese (includes Gurkha)
1592,QS211EW0107,Count,Person,Mixed/multiple ethnic group: Nigerian
1593,QS211EW0108,Count,Person,Mixed/multiple ethnic group: North African
1594,QS211EW0109,Count,Person,Mixed/multiple ethnic group: North American
1595,QS211EW0110,Count,Person,Mixed/multiple ethnic group: Other Eastern European
1596,QS211EW0111,Count,Person,Mixed/multiple ethnic group: Other Middle East
1597,QS211EW0112,Count,Person,Mixed/multiple ethnic group: Other Western European
1598,QS211EW0113,Count,Person,Mixed/multiple ethnic group: Peruvian
1599,QS211EW0114,Count,Person,Mixed/multiple ethnic group: Polish
1600,QS211EW0115,Count,Person,Mixed/multiple ethnic group: Polynesia/Micronesia/Melanesia
1601,QS211EW0116,Count,Person,Mixed/multiple ethnic group: Somali
1602,QS211EW0117,Count,Person,Mixed/multiple ethnic group: South Asian and Chinese
1603,QS211EW0118,Count,Person,Mixed/multiple ethnic group: Sri Lankan
1604,QS211EW0119,Count,Person,Mixed/multiple ethnic group: Tamil
1605,QS211EW0120,Count,Person,Mixed/multiple ethnic group: Thai
1606,QS211EW0121,Count,Person,Mixed/multiple ethnic group: Turkish
1607,QS211EW0122,Count,Person,Mixed/multiple ethnic group: Turkish Cypriot
1608,QS211EW0123,Count,Person,Mixed/multiple ethnic group: Venezuelan
1609,QS211EW0124,Count,Person,Mixed/multiple ethnic group: Vietnamese
1610,QS211EW0125,Count,Person,Mixed/multiple ethnic group: White African
1611,QS211EW0126,Count,Person,Mixed/multiple ethnic group: White and Arab
1612,QS211EW0127,Count,Person,Mixed/multiple ethnic group: White and East Asian
1613,QS211EW0128,Count,Person,Mixed/multiple ethnic group: White and North African or Middle Eastern
1614,QS211EW0129,Count,Person,Mixed/multiple ethnic group: White and South Asian
1615,QS211EW0130,Count,Person,Mixed/multiple ethnic group: White Caribbean
1616,QS211EW0131,Count,Person,Mixed/multiple ethnic group: Any other ethnic group
1617,QS211EW0132,Count,Person,Asian/Asian British: Indian or British Indian
1618,QS211EW0133,Count,Person,Asian/Asian British: Pakistani or British Pakistani
1619,QS211EW0134,Count,Person,"Asian/Asian British: Bangladeshi, British Bangladeshi"
1620,QS211EW0135,Count,Person,Asian/Asian British: Chinese
1621,QS211EW0136,Count,Person,Asian/Asian British: Afghan
1622,QS211EW0137,Count,Person,Asian/Asian British: Anglo Indian
1623,QS211EW0138,Count,Person,Asian/Asian British: British Asian
1624,QS211EW0139,Count,Person,Asian/Asian British: Burmese
1625,QS211EW0140,Count,Person,Asian/Asian British: Cambodia
1626,QS211EW0141,Count,Person,Asian/Asian British: Caribbean Asian
1627,QS211EW0142,Count,Person,Asian/Asian British: Commonwealth of (Russian) Independent States
1628,QS211EW0143,Count,Person,Asian/Asian British: East African Asian
1629,QS211EW0144,Count,Person,Asian/Asian British: European Mixed
1630,QS211EW0145,Count,Person,Asian/Asian British: Filipino
1631,QS211EW0146,Count,Person,Asian/Asian British: Indonesian
1632,QS211EW0147,Count,Person,Asian/Asian British: Iranian
1633,QS211EW0148,Count,Person,Asian/Asian British: Italian
1634,QS211EW0149,Count,Person,Asian/Asian British: Japanese
1635,QS211EW0150,Count,Person,Asian/Asian British: Kashmiri
1636,QS211EW0151,Count,Person,Asian/Asian British: Korean
1637,QS211EW0152,Count,Person,Asian/Asian British: Kurdish
1638,QS211EW0153,Count,Person,Asian/Asian British: Latin/South/Central American
1639,QS211EW0154,Count,Person,Asian/Asian British: Malaysian
1640,QS211EW0155,Count,Person,Asian/Asian British: Multi-ethnic islands
1641,QS211EW0156,Count,Person,Asian/Asian British: Nepalese (includes Gurkha)
1642,QS211EW0157,Count,Person,Asian/Asian British: North American
1643,QS211EW0158,Count,Person,Asian/Asian British: Other Eastern European
1644,QS211EW0159,Count,Person,Asian/Asian British: Other Middle East
1645,QS211EW0160,Count,Person,Asian/Asian British: Other Western European
1646,QS211EW0161,Count,Person,Asian/Asian British: Polynesia/Micronesia/Melanesia
1647,QS211EW0162,Count,Person,Asian/Asian British: Punjabi
1648,QS211EW0163,Count,Person,Asian/Asian British: Sinhalese
1649,QS211EW0164,Count,Person,Asian/Asian British: Somali
1650,QS211EW0165,Count,Person,Asian/Asian British: Sri Lankan
1651,QS211EW0166,Count,Person,Asian/Asian British: Taiwanese
1652,QS211EW0167,Count,Person,Asian/Asian British: Tamil
1653,QS211EW0168,Count,Person,Asian/Asian British: Thai
1654,QS211EW0169,Count,Person,Asian/Asian British: Turkish
1655,QS211EW0170,Count,Person,Asian/Asian British: Turkish Cypriot
1656,QS211EW0171,Count,Person,Asian/Asian British: Vietnamese
1657,QS211EW0172,Count,Person,Asian/Asian British: Any other ethnic group
1658,QS211EW0173,Count,Person,Black/African/Caribbean/Black British: African
1659,QS211EW0174,Count,Person,Black/African/Caribbean/Black British: Caribbean
1660,QS211EW0175,Count,Person,Black/African/Caribbean/Black British: Afghan
1661,QS211EW0176,Count,Person,Black/African/Caribbean/Black British: African/Arab
1662,QS211EW0177,Count,Person,Black/African/Caribbean/Black British: Black British
1663,QS211EW0178,Count,Person,Black/African/Caribbean/Black British: Black European
1664,QS211EW0179,Count,Person,Black/African/Caribbean/Black British: Black/African American
1665,QS211EW0180,Count,Person,Black/African/Caribbean/Black British: Brazilian
1666,QS211EW0181,Count,Person,Black/African/Caribbean/Black British: Caribbean Asian
1667,QS211EW0182,Count,Person,Black/African/Caribbean/Black British: Colombian
1668,QS211EW0183,Count,Person,Black/African/Caribbean/Black British: Cuban
1669,QS211EW0184,Count,Person,Black/African/Caribbean/Black British: European Mixed
1670,QS211EW0185,Count,Person,Black/African/Caribbean/Black British: Filipino
1671,QS211EW0186,Count,Person,Black/African/Caribbean/Black British: Italian
1672,QS211EW0187,Count,Person,Black/African/Caribbean/Black British: Latin/South/Central American
1673,QS211EW0188,Count,Person,Black/African/Caribbean/Black British: Moroccan
1674,QS211EW0189,Count,Person,Black/African/Caribbean/Black British: Multi-ethnic islands
1675,QS211EW0190,Count,Person,Black/African/Caribbean/Black British: Nigerian
1676,QS211EW0191,Count,Person,Black/African/Caribbean/Black British: North African
1837,QS409EW0002,Count,Household,Up to 0.5 persons per room
1677,QS211EW0192,Count,Person,Black/African/Caribbean/Black British: North American
1678,QS211EW0193,Count,Person,Black/African/Caribbean/Black British: Other Western European
1679,QS211EW0194,Count,Person,Black/African/Caribbean/Black British: Polynesia/Micronesia/Melanesia
1680,QS211EW0195,Count,Person,Black/African/Caribbean/Black British: Somali
1681,QS211EW0196,Count,Person,Black/African/Caribbean/Black British: Somalilander
1682,QS211EW0197,Count,Person,Black/African/Caribbean/Black British: Sri Lankan
1683,QS211EW0198,Count,Person,Black/African/Caribbean/Black British: Any other ethnic group
1684,QS211EW0199,Count,Person,Other ethnic group: Arab
1685,QS211EW0200,Count,Person,Other ethnic group: Afghan
1686,QS211EW0201,Count,Person,Other ethnic group: African/Arab
1687,QS211EW0202,Count,Person,Other ethnic group: Albanian
1688,QS211EW0203,Count,Person,Other ethnic group: Anglo Indian
1689,QS211EW0204,Count,Person,Other ethnic group: Australian/New Zealander
1690,QS211EW0205,Count,Person,Other ethnic group: Baltic States
1691,QS211EW0206,Count,Person,Other ethnic group: Bosnian
1692,QS211EW0207,Count,Person,Other ethnic group: Brazilian
1693,QS211EW0208,Count,Person,Other ethnic group: Burmese
1694,QS211EW0209,Count,Person,Other ethnic group: Caribbean Asian
1695,QS211EW0210,Count,Person,Other ethnic group: Chilean
1696,QS211EW0211,Count,Person,Other ethnic group: Colombian
1697,QS211EW0212,Count,Person,Other ethnic group: Commonwealth of (Russian) Independent States
1698,QS211EW0213,Count,Person,Other ethnic group: Cypriot (part not stated)
1699,QS211EW0214,Count,Person,Other ethnic group: Ecuadorian
1700,QS211EW0215,Count,Person,Other ethnic group: European Mixed
1701,QS211EW0216,Count,Person,Other ethnic group: Filipino
1702,QS211EW0217,Count,Person,Other ethnic group: Greek
1703,QS211EW0218,Count,Person,Other ethnic group: Greek Cypriot
1704,QS211EW0219,Count,Person,Other ethnic group: Indonesian
1705,QS211EW0220,Count,Person,Other ethnic group: Iranian
1706,QS211EW0221,Count,Person,Other ethnic group: Israeli
1707,QS211EW0222,Count,Person,Other ethnic group: Italian
1708,QS211EW0223,Count,Person,Other ethnic group: Japanese
1709,QS211EW0224,Count,Person,Other ethnic group: Kashmiri
1710,QS211EW0225,Count,Person,Other ethnic group: Korean
1711,QS211EW0226,Count,Person,Other ethnic group: Kosovan
1712,QS211EW0227,Count,Person,Other ethnic group: Kurdish
1713,QS211EW0228,Count,Person,Other ethnic group: Latin/South/Central American
1714,QS211EW0229,Count,Person,Other ethnic group: Malaysian
1715,QS211EW0230,Count,Person,Other ethnic group: Mexican
1716,QS211EW0231,Count,Person,Other ethnic group: Moroccan
1717,QS211EW0232,Count,Person,Other ethnic group: Multi-ethnic islands
1718,QS211EW0233,Count,Person,Other ethnic group: Nepalese (includes Gurkha)
1719,QS211EW0234,Count,Person,Other ethnic group: North African
1720,QS211EW0235,Count,Person,Other ethnic group: North American
1721,QS211EW0236,Count,Person,Other ethnic group: Other Eastern European
1722,QS211EW0237,Count,Person,Other ethnic group: Other Middle East
